3_20_3

WT_NUMBER
20

BSS_NUMBER
3

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME    
1                4934.0000        3463.0000        0.2000           10.0000         
2                6763.0000        8531.0000        0.2000           10.0000         
3                3209.0000        6269.0000        0.2000           10.0000         
4                8340.0000        5221.0000        0.2000           10.0000         
5                3361.0000        3979.0000        0.2000           10.0000         
6                6863.0000        1861.0000        0.2000           10.0000         
7                3794.0000        7533.0000        0.2000           10.0000         
8                9572.0000        3968.0000        0.2000           10.0000         
9                2155.0000        8290.0000        0.2000           10.0000         
10               10164.0000       1912.0000        0.2000           10.0000         
11               7203.0000        10981.0000       0.2000           10.0000         
12               8021.0000        2750.0000        0.2000           10.0000         
13               5409.0000        2249.0000        0.2000           10.0000         
14               6180.0000        6640.0000        0.2000           10.0000         
15               7727.0000        8471.0000        0.2000           10.0000         
16               8801.0000        6467.0000        0.2000           10.0000         
17               5124.0000        7532.0000        0.2000           10.0000         
18               10002.0000       6781.0000        0.2000           10.0000         
19               10735.0000       4127.0000        0.2000           10.0000         
20               8754.0000        8798.0000        0.2000           10.0000         
21               10323.0000       9019.0000        0.0000           0.0000          
22               6651.0000        2405.0000        0.0000           0.0000          
23               1924.0000        8967.0000        0.0000           0.0000          
