3_20_8

WT_NUMBER
20

BSS_NUMBER
3

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME
1                9610.0000        2317.0000        0.2000           10.0000
2                9296.0000        3429.0000        0.2000           10.0000
3                4951.0000        1853.0000        0.2000           10.0000
4                8221.0000        7594.0000        0.2000           10.0000
5                3240.0000        7379.0000        0.2000           10.0000
6                3998.0000        4034.0000        0.2000           10.0000
7                6838.0000        8105.0000        0.2000           10.0000
8                3391.0000        5362.0000        0.2000           10.0000
9                10979.0000       3215.0000        0.2000           10.0000
10               6579.0000        10764.0000       0.2000           10.0000
11               5819.0000        9170.0000        0.2000           10.0000
12               2931.0000        10420.0000       0.2000           10.0000
13               2697.0000        8889.0000        0.2000           10.0000
14               4632.0000        5805.0000        0.2000           10.0000
15               1553.0000        8272.0000        0.2000           10.0000
16               7598.0000        4289.0000        0.2000           10.0000
17               6440.0000        1415.0000        0.2000           10.0000
18               5330.0000        3182.0000        0.2000           10.0000
19               2543.0000        2877.0000        0.2000           10.0000
20               4307.0000        7251.0000        0.2000           10.0000
21               6858.0000        2227.0000        0.0000           0.0000
22               3988.0000        9465.0000        0.0000           0.0000
23               1004.0000        5647.0000        0.0000           0.0000          
