5_50_9

WT_NUMBER
50

BSS_NUMBER
5

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME
1                13969.0000       4509.0000        0.2000           10.0000
2                1753.0000        10894.0000       0.2000           10.0000
3                6408.0000        4951.0000        0.2000           10.0000
4                7533.0000        11092.0000       0.2000           10.0000
5                13585.0000       9612.0000        0.2000           10.0000
6                1907.0000        1277.0000        0.2000           10.0000
7                9034.0000        3970.0000        0.2000           10.0000
8                5976.0000        3796.0000        0.2000           10.0000
9                5591.0000        10874.0000       0.2000           10.0000
10               5537.0000        9282.0000        0.2000           10.0000
11               2351.0000        3740.0000        0.2000           10.0000
12               13496.0000       7671.0000        0.2000           10.0000
13               3679.0000        1254.0000        0.2000           10.0000
14               3860.0000        3485.0000        0.2000           10.0000
15               4485.0000        10607.0000       0.2000           10.0000
16               2361.0000        13837.0000       0.2000           10.0000
17               4230.0000        13558.0000       0.2000           10.0000
18               2954.0000        12810.0000       0.2000           10.0000
19               4336.0000        4429.0000        0.2000           10.0000
20               12408.0000       6728.0000        0.2000           10.0000
21               3218.0000        6054.0000        0.2000           10.0000
22               5986.0000        2312.0000        0.2000           10.0000
23               9850.0000        7313.0000        0.2000           10.0000
24               11206.0000       5456.0000        0.2000           10.0000
25               6092.0000        10117.0000       0.2000           10.0000
26               9173.0000        2873.0000        0.2000           10.0000
27               11046.0000       6537.0000        0.2000           10.0000
28               5170.0000        5322.0000        0.2000           10.0000
29               7276.0000        13655.0000       0.2000           10.0000
30               5651.0000        13631.0000       0.2000           10.0000
31               11033.0000       8818.0000        0.2000           10.0000
32               2868.0000        10122.0000       0.2000           10.0000
33               2038.0000        6793.0000        0.2000           10.0000
34               14117.0000       6962.0000        0.2000           10.0000
35               5635.0000        12252.0000       0.2000           10.0000
36               11514.0000       10018.0000       0.2000           10.0000
37               9150.0000        5893.0000        0.2000           10.0000
38               4251.0000        9680.0000        0.2000           10.0000
39               2291.0000        12057.0000       0.2000           10.0000
40               13040.0000       8713.0000        0.2000           10.0000
41               1020.0000        5645.0000        0.2000           10.0000
42               10386.0000       9654.0000        0.2000           10.0000
43               12254.0000       7702.0000        0.2000           10.0000
44               12418.0000       3127.0000        0.2000           10.0000
45               10049.0000       3574.0000        0.2000           10.0000
46               7979.0000        6010.0000        0.2000           10.0000
47               4568.0000        11476.0000       0.2000           10.0000
48               10588.0000       2564.0000        0.2000           10.0000
49               8400.0000        7470.0000        0.2000           10.0000
50               3256.0000        9230.0000        0.2000           10.0000
51               12161.0000       5649.0000        0.0000           0.0000
52               2123.0000        3182.0000        0.0000           0.0000
53               3982.0000        13924.0000       0.0000           0.0000
54               5163.0000        1177.0000        0.0000           0.0000          
55               1002.0000        14490.0000       0.0000           0.0000          
