6_65_5

WT_NUMBER
65

BSS_NUMBER
6

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME    
1                10352.0000       11801.0000       0.2000           10.0000         
2                2675.0000        4070.0000        0.2000           10.0000         
3                7784.0000        12262.0000       0.2000           10.0000         
4                1354.0000        12319.0000       0.2000           10.0000         
5                3696.0000        11217.0000       0.2000           10.0000         
6                5990.0000        10640.0000       0.2000           10.0000         
7                11272.0000       8494.0000        0.2000           10.0000         
8                15175.0000       14296.0000       0.2000           10.0000         
9                3778.0000        7019.0000        0.2000           10.0000         
10               13341.0000       8030.0000        0.2000           10.0000         
11               14294.0000       4640.0000        0.2000           10.0000         
12               12587.0000       12839.0000       0.2000           10.0000         
13               12250.0000       3550.0000        0.2000           10.0000         
14               2380.0000        8221.0000        0.2000           10.0000         
15               11943.0000       13984.0000       0.2000           10.0000         
16               9646.0000        2579.0000        0.2000           10.0000         
17               12711.0000       4883.0000        0.2000           10.0000         
18               13100.0000       14674.0000       0.2000           10.0000         
19               13366.0000       13546.0000       0.2000           10.0000         
20               8984.0000        7571.0000        0.2000           10.0000         
21               10428.0000       14513.0000       0.2000           10.0000         
22               3224.0000        13396.0000       0.2000           10.0000         
23               14345.0000       11500.0000       0.2000           10.0000         
24               2268.0000        12778.0000       0.2000           10.0000         
25               12666.0000       7100.0000        0.2000           10.0000         
26               11810.0000       10748.0000       0.2000           10.0000         
27               6610.0000        14941.0000       0.2000           10.0000         
28               1825.0000        5632.0000        0.2000           10.0000         
29               6853.0000        8973.0000        0.2000           10.0000         
30               3672.0000        5206.0000        0.2000           10.0000         
31               3547.0000        15527.0000       0.2000           10.0000         
32               4005.0000        3904.0000        0.2000           10.0000         
33               1161.0000        6598.0000        0.2000           10.0000         
34               7153.0000        13550.0000       0.2000           10.0000         
35               4070.0000        8777.0000        0.2000           10.0000         
36               16220.0000       10266.0000       0.2000           10.0000         
37               11213.0000       7172.0000        0.2000           10.0000         
38               8634.0000        2695.0000        0.2000           10.0000         
39               7525.0000        5991.0000        0.2000           10.0000         
40               10369.0000       5434.0000        0.2000           10.0000         
41               5042.0000        14198.0000       0.2000           10.0000         
42               2859.0000        14390.0000       0.2000           10.0000         
43               14615.0000       3117.0000        0.2000           10.0000         
44               3157.0000        1946.0000        0.2000           10.0000         
45               2545.0000        2975.0000        0.2000           10.0000         
46               13302.0000       10814.0000       0.2000           10.0000         
47               4857.0000        5646.0000        0.2000           10.0000         
48               6947.0000        7658.0000        0.2000           10.0000         
49               11990.0000       2251.0000        0.2000           10.0000         
50               10343.0000       15610.0000       0.2000           10.0000         
51               1065.0000        7973.0000        0.2000           10.0000         
52               7895.0000        1126.0000        0.2000           10.0000         
53               15704.0000       11539.0000       0.2000           10.0000         
54               4708.0000        9956.0000        0.2000           10.0000         
55               16196.0000       6211.0000        0.2000           10.0000         
56               5524.0000        8491.0000        0.2000           10.0000         
57               15882.0000       2796.0000        0.2000           10.0000         
58               7564.0000        4568.0000        0.2000           10.0000         
59               5466.0000        1520.0000        0.2000           10.0000         
60               6471.0000        16257.0000       0.2000           10.0000         
61               5180.0000        12814.0000       0.2000           10.0000         
62               6479.0000        1741.0000        0.2000           10.0000         
63               13485.0000       3953.0000        0.2000           10.0000         
64               5847.0000        11818.0000       0.2000           10.0000         
65               15194.0000       1685.0000        0.2000           10.0000         
66               2169.0000        7853.0000        0.0000           0.0000          
67               13800.0000       10060.0000       0.0000           0.0000          
68               7717.0000        2850.0000        0.0000           0.0000          
69               5631.0000        15487.0000       0.0000           0.0000          
70               16280.0000       1838.0000        0.0000           0.0000          
71               8103.0000        1400.0000        0.0000           0.0000
